sample_id,accession,encoder_task,encoder_prompt,encoder_response
GSM3440194,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM3440195,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM3440196,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM3440197,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM3440198,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM3440199,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM3440200,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM3440201,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM3440202,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
GSM3440203,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM3440204,GSE121618,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
KC1,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
KC2,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
KC3,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
KC4,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
KL3,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
KL5,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
KL6,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
KL7,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
KL9,GSE173900,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
Keloid1,GSE190626,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
Keloid2,GSE190626,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
Keloid3,GSE190626,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
Normal1,GSE190626,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
Normal2,GSE190626,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
Normal3,GSE190626,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
GSM7846598,GSE245660,scar_differential,"Given this scar expression profile, predict the scar type. Answer:",immature_scar
GSM7846599,GSE245660,scar_differential,"Given this scar expression profile, predict the scar type. Answer:",immature_scar
GSM7846600,GSE245660,scar_differential,"Given this scar expression profile, predict the scar type. Answer:",keloid
GSM7846601,GSE245660,scar_differential,"Given this scar expression profile, predict the scar type. Answer:",keloid
GSM7846602,GSE245660,scar_differential,"Given this scar expression profile, predict the scar type. Answer:",keloid
K1-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K2-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K3-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K4-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K5-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K6-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K7-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
K8-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day0
N1-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day0
N2-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day0
N3-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day0
N4-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day0
N5-1st,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day0
K1-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K2-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K3-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K4-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K5-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K6-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K7-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
K8-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",keloid_prone_day42
N1-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day42
N2-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day42
N4-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day42
N5-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day42
N6-2nd,GSE113619,wound_susceptibility,"Given this skin expression profile, predict keloid susceptibility / wound timepoint. Answer:",control_day42
Ctrl1,GSE237752,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
Ctrl2,GSE237752,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
Ctrl3,GSE237752,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
keloid1,GSE237752,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
keloid2,GSE237752,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
keloid3,GSE237752,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
HK-NS1,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",adjacent_normal
HK-NS2,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",adjacent_normal
HK-NS3,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",adjacent_normal
HK1,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
HK2,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
HK3,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",keloid
HNS1,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
HNS2,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
HNS3,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal
HNSR1,GSE191067,keloid_vs_normal,"Given this expression profile, predict whether the sample is keloid or normal. Answer:",normal_scar
